id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1711,87,maduro,,adj,adjetivo,"tocton, yij",,,,,,"maduro adj tocton, yij tocton, yij"
1712,87,maguey,,m,sustantivo masculino,"chi, caxlan chi, uchul chi, met",El pulque se saca de la planta del maguey. Li ta syoquetal chie ja! tey chloc! li yaquil-o'e. Ixt chij,Ixt,Ixtapa,,,"maguey m chi, caxlan chi, uchul chi, chi, caxlan chi, uchul chi, met. El pulque se saca de la planta del maguey. Li ta syoquetal chie ja! tey chloc! li yaquil-o'e. Ixt chij"
1713,87,magullado,,adj,adjetivo,"t'usul, ttusem",Los jitomates magullados cuestan más baratos. Li tlusul pajal chichole ja! mas yalem stojol,,,,,"magullado adj t'usul, ttusem. Los t'usul, ttusem. Los jitomates magullados cuestan más baratos. Li tlusul pajal chichole ja! mas yalem stojol."
1714,87,magullar,se magulla,vr,verbo reflexivo,ta stus,Los plátanos se magullan en el morral; hay que llevarlos en la canasta. Li lobole ta st!us ta moral; sctan ich'el batel ta moch,,,,,magullar: se magulla vr ta stus. Los ta stus. Los plátanos se magullan en el morral; hay que llevarlos en la canasta. Li lobole ta st!us ta moral; sctan ich'el batel ta moch.
1715,87,maíz,,m,sustantivo masculino,ixim,El maíz está desgranado. Li ixime ixijem xa. maíz en grano sat ixim,,,,,maíz m ixim. El maíz está ixim. El maíz está desgranado. Li ixime ixijem xa. maíz en grano sat ixim
1716,87,mal,,adv,adverbio,"chopol. Está mal que le hayas pegado a tu mujer. Chopol li amaj avajnile. mal de ojo satil, satilal mal del pinto xoc mal de salud ip no!ox cha'i mal hombre chopol vinic xt pucujil vinic Zin pueuj vinic",,Zin,Zinacantán,,,"mal adv chopol. Está mal que le chopol. Está mal que le hayas pegado a tu mujer. Chopol li amaj avajnile. mal de ojo satil, satilal mal del pinto xoc mal de salud ip no!ox cha'i mal hombre chopol vinic xt pucujil vinic Zin pueuj vinic"
1717,87,mala mujer,,f,sustantivo femenino,1. xmatal,"El líquido de la yerba mala mujer causa irritación. Li ya'lel yanal li ts'i'lel xmatal sbie ta xcajtsaj o chinetic ta jbec'taltic. 2. (duende) xpaq!uinte!, jlepal jol, me!-ov Ch!en me! xpaq'uinte!; natil-jol Jxt antsil-te! 3, chopol ants",Ch'en,Chenalhó,,duende,"mala mujer f 1. xmatal. El líquido 1. xmatal. El líquido de la yerba mala mujer causa irritación. Li ya'lel yanal li ts'i'lel xmatal sbie ta xcajtsaj o chinetic ta jbec'taltic. 2. (duende) xpaq!uinte!, jlepal jol, me!-ov Ch!en me! xpaq'uinte!; natil-jol Jxt antsil-te! 3, chopol ants"
1718,87,malaria,,f,sustantivo femenino,"c!actal sic, sic-cloct Cham pasma “Zin pasmu",,Cham; Zin,Chamula; Zinacantán,,,"malaria f c!actal sic, sic-cloct Cham c!actal sic, sic-cloct Cham pasma “Zin pasmu"
1719,87,maldecir,lo maldice,vt,verbo transitivo,"ta xut, ta schopol-<!opon",El padrastro maldijo a su entenado. Li laj yut li scha'nich'one,,,,,"maldecir: lo maldice ví ta xut, ta ta xut, ta schopol-<!opon. El padrastro maldijo a su entenado. Li laj yut li scha'nich'one."
1720,87,lo malgasta,,vt,verbo transitivo,"ta xixtol-lajes, ta xixtalan staq!uin, Malgastó el dinero que ganó del trabajo, lo usó para emborracharse; ahora no tiene que comer. Laj yixtol-lajes staq'uin li stojol totox ta abtele, islajes ta pox; avi mu!yuc xa c'usi ta sman o svelel. Chen ta slajes ta jech nolox",,Ch'en,Chenalhó,,,"lo malgasta vt ta ta xixtol-lajes, ta xixtalan staq!uin, Malgastó el dinero que ganó del trabajo, lo usó para emborracharse; ahora no tiene que comer. Laj yixtol-lajes staq'uin li stojol totox ta abtele, islajes ta pox; avi mu!yuc xa c'usi ta sman o svelel. Chen ta slajes ta jech nolox"
1721,87,malo,,adj,adjetivo,chopol [xt pucuj,,,,,,malo adj chopol [xt pucuj chopol [xt pucuj
1722,87,maltratar,lo maltrata,vt,verbo transitivo,"ta xixtalan, ta sclasulan","El niño maltrató el sombrero de su papá. Li quereme laj sctasulanbe li spixol stote. Cham, Chen ta xixtan, ta xixtolan, ta sclasulan",Cham; Ch'en,Chamula; Chenalhó,,,"maltratar: lo maltrata vt ta xixtalan, ta xixtalan, ta sclasulan. El niño maltrató el sombrero de su papá. Li quereme laj sctasulanbe li spixol stote. Cham, Chen ta xixtan, ta xixtolan, ta sclasulan"
1723,87,mamá,,f,sustantivo femenino,me'il su mamá sme!; ya (término usado para llamar a la mamá),,,,,término usado para llamar a la mamá,mamá f me'il su mamá sme!; ya me'il su mamá sme!; ya (término usado para llamar a la mamá)
1724,87,mamar,mama,vi,verbo intransitivo,ta xchulun le da de mamar ta schu'untas Cham ta schu'ilta,,Cham,Chamula,,,mamar: mama vi ta xchulun ta xchulun le da de mamar ta schu'untas Cham ta schu'ilta
1725,87,manantial,,m,sustantivo masculino,"nio!, j que brota del m: y fresca. Li jo! li chloc! ta sat-jo!e, toj lec sac, schituc toj lec sic. Cham, Chien, Zin sat-v0!",,Cham; Zin,Chamula; Zinacantán,,,"manantial m nio!, j nio!, j que brota del m: y fresca. Li jo! li chloc! ta sat-jo!e, toj lec sac, schituc toj lec sic. Cham, Chien, Zin sat-v0!"
1726,87,mandar,lo manda,vt,verbo transitivo,ta stac. Manda a su hijo a la escuela para que aprenda a leer. Taco batel ta chan-jun li anich'one acto schan jun.,,,,,,mandar: lo manda ví ta stac. Manda ta stac. Manda a su hijo a la escuela para que aprenda a leer. Taco batel ta chan-jun li anich'one acto schan jun.
