id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5255,166,ch'ich'al,,,variante dialectal,se desangra Véase,,Ch'en,Chenalhó,ta xch'ich'inaj; ta xloc' ep sch'ich'el,,ch'ich'al Ch'en se desangra Véase ta xch'ich'inaj; ta xloc' ep sch'ich'el
5256,166,ta xloc! sjob [xt se vaporiza,,,variante dialectal,ta,,Zin,Zinacantán,ta xjaban,,ta xloc! sjob [xt se vaporiza Zin ta xloc' sob Véase ta xjaban
5257,166,ta xlom,vi,verbo intransitivo,verbo,"se derrumba, se desbarata",,,,lomel,,"ta xlom vi se derrumba, se desbarata, se desploma, se cae Véase lomel"
5258,166,ta xlosi,vi,verbo intransitivo,verbo,se cae en el suelo (lazo,,,,losol,"lazo, alambre, ropa, etc.","ta xlosi vi se cae en el suelo (lazo, alambre, ropa, etc.). Ctaluc mo! lec tsimbil li alampree ta xlosi ta balumil. Cuando el alambre no está bien estirado se cae al suelo. Véase losol"
5259,166,ta xlo'ilaj,vi,verbo intransitivo,verbo,"conversa, cuenta: contar",,,,lotil,,"ta xlo'ilaj vi conversa, cuenta: contar, platica Véase lotil"
5260,166,ta xlo'iltavan,vi,verbo intransitivo,verbo,chismea,,,,,,ta xlo'iltavan vi chismea
5261,166,ta xlo'lovan,vi,verbo intransitivo,verbo,"engaña, toma el pelo.",Li vinic le'e mu xach'unbeic li ctusi chale yu'un ja' no'ox ta xlo'lovan.,,,,,"ta xlo'lovan vi engaña, toma el pelo. Li vinic le'e mu xach'unbeic li ctusi chale yu'un ja' no'ox ta xlo'lovan. No le crean a ese hombre"
5262,166,porque sólo trata de engañar.,,,variante dialectal,,,Ch'en,Chenalhó,lo'loel,,porque sólo trata de engañar. Ch'en ta xlo'lavan Véase lo'loel
5263,166,ta xlub,vi,verbo intransitivo,verbo,se cansa. Mu xavac'beic,Mu xavac'beic ep yicats li cate yu'un ta xlub ta ora.,,,lubel,,ta xlub vi se cansa. Mu xavac'beic ep yicats li cate yu'un ta xlub ta ora. No le pongan mucha carga al 179 caballo porque se cansa muy pronto. Véase lubel
5264,167,ta xlubtsaj,vi,verbo intransitivo,verbo,se debilita,,,,,,ta xlubtsaj vi se debilita
5265,167,ta xlucp'ij,vi,verbo intransitivo,verbo,se tuerce: torcerse,Li yaxal tete ta xlucp'ij ta clactal ti mi yu'un unen toe.,,,luclue,"madera verde, alambre, etc.","ta xlucp'ij vi se tuerce: torcerse (madera verde, alambre, etc.). Li yaxal tete ta xlucp'ij ta clactal ti mi yu'un unen toe. La madera verde se tuerce con el calor cuando es tierna. Ch/en ta xlucbij Véase luclue"
5266,167,ta xlucumaj,vi,verbo intransitivo,verbo,se arrastra (la culebra),,,,lucum,la culebra,ta xlucumaj vi se arrastra (la culebra) Véase lucum
5267,167,ta xlucumaj,,,variante dialectal,hoza p.ej.,,Ch'en,Chenalhó,ta xjuyomaj,,ta xlucumaj Ch'en hoza p.ej. marranos con el hocico Véase ta xjuyomaj
5268,167,ta xluchi,vi,verbo intransitivo,verbo,se trepa (en el árbol),,,,luchul,en el árbol,"ta xluchi vi se trepa (en el árbol), sube (en el árbol). Yacal xa ta xluchi ta te' li caxlanetique yu'un ic! xa osil. Las gallinas ya se están subiendo al árbol porque está entrando la noche. Véase luchul"
5269,167,ta xluchvan,vi,verbo intransitivo,verbo,cornea,,,,,,ta xluchvan vi cornea
5270,167,ta xlup-vo'aj,,,variante dialectal,acarrea agua,,Ch'en,Chenalhó,ta xja'av ta xluqui ví se acuesta: acostarse p,,ta xlup-vo'aj Ch'en acarrea agua Véase ta xja'av ta xluqui ví se acuesta: acostarse p.ej. el perro
5271,167,"ta xluttumaj, ta xluttmaj",vi,verbo intransitivo,verbo,cicatriza,,,,lut'mal,,"ta xluttumaj, ta xluttmaj vi cicatriza Véase lut'mal"
